cell_site,calling,called,startdate,enddate,duration
7738,3756601594,3475396323,1672672515,1672673371,856
7737,3489217083,3778780511,1672546624,1672548146,1522
7825,3792883665,3809916577,1672692509,1672692694,185
7890,3780974443,3760561634,1672689136,1672691720,2584
7711,3777929708,3333896808,1672636160,1672637411,1251
7962,3683766533,3511312803,1672683797,1672684619,822
7613,3319752091,3774125065,1672589218,1672590345,1127
7514,3404058699,3757602960,1672579204,1672581375,2171
7640,3480687894,3791594391,1672637061,1672639103,2042
7657,3683766533,3852391257,1672579855,1672581569,1714
7533,3518496488,3342131135,1672700369,1672701950,1581
7881,3409474775,3773598056,1672678976,1672680490,1514
7599,3701967560,3739106581,1672563099,1672566231,3132
7706,3852391257,3511271692,1672652127,1672654512,2385
7617,3505530961,3244173074,1672588266,1672588768,502
7701,3703871468,3793286136,1672572071,1672573951,1880
7519,3701995648,3736419952,1672584189,1672584349,160
7645,3311274543,3783509527,1672582604,1672583697,1093
7815,3664170666,3792789881,1672612574,1672612772,198
7840,3416265063,3518014404,1672648988,1672649972,984
7511,3791334389,3668005723,1672596729,1672597593,864
7933,3779976989,3415546117,1672657914,1672661453,3539
7818,3899204805,3234541252,1672694633,1672695594,961
7852,3899371911,3778305740,1672573936,1672575553,1617
7610,3533653428,3505599848,1672587096,1672590598,3502
7893,3311274543,3311603601,1672589401,1672590444,1043
7902,3517864478,3882291183,1672638465,1672638588,123
7778,3774556560,3511312803,1672650053,1672650777,724
7759,3533810360,3278365525,1672690274,1672693260,2986
7723,3926700506,3778266283,1672694667,1672695865,1198
7677,3235635976,3910454786,1672594241,1672596275,2034
7835,3512166013,3520888296,1672616879,1672617592,713
7805,3780503655,3534313900,1672672161,1672673924,1763
7970,3716168623,3383922351,1672580441,1672584041,3600
7746,3837094550,3859663348,1672607068,1672607966,898
7500,3276993580,3688418210,1672699865,1672700835,970
7905,3777983879,3820354437,1672702604,1672703495,891
7584,3777936328,3511841857,1672575896,1672576755,859
7628,3792768129,3972709319,1672550050,1672551210,1160
7733,3229665776,3882997884,1672545878,1672547505,1627
7689,3411618230,3510247121,1672636078,1672638456,2378
7676,3365830990,3716843669,1672631811,1672635403,3592
7554,3370636709,3471220483,1672545995,1672548187,2192
7775,3519803045,3826759140,1672561710,1672564124,2414
7846,3510857360,3666553782,1672628037,1672628186,149
7903,3852595551,3760492950,1672612356,1672615435,3079
7787,3201324715,3477375368,1672640128,1672642471,2343
7696,3533025282,3206254161,1672684562,1672685982,1420
7656,3520165601,3778108318,1672569098,1672572288,3190
