Query,Dimensione,Tempo prima esecuzione,Tempo delle 30 esecuzioni,Tempo medio,Intervallo di confidenza
Query1,25%,3.4151077270507812,28.749704360961914,0.7187426090240479,"(0.6681077335035644, 0.7693774845445313)"
Query1,50%,3.673076629638672,34.23309326171875,0.8558273315429688,"(0.8124863256763017, 0.8991683374096358)"
Query1,75%,3.6420822143554688,40.059804916381836,1.001495122909546,"(0.9360473279309472, 1.0669429178881444)"
Query1,100%,3.4034252166748047,45.87578773498535,1.1468946933746338,"(1.0741080492705992, 1.2196813374786684)"
Query2,25%,165.15541076660156,6174.8046875,154.3701171875,"(151.5803411896745, 157.1598931853255)"
Query2,50%,177.61945724487305,6597.343444824219,164.93358612060547,"(163.633770395206, 166.23340184600494)"
Query2,75%,176.56826972961426,6768.617153167725,169.21542882919312,"(167.7737457771995, 170.65711188118672)"
Query2,100%,203.68599891662598,7852.4839878082275,196.3120996952057,"(195.3699907071817, 197.25420868322968)"
Query3,25%,181.26201629638672,6903.202056884766,172.58005142211914,"(170.98654489812992, 174.17355794610836)"
Query3,50%,380.16343116760254,15007.242441177368,375.1810610294342,"(369.896161386536, 380.4659606723324)"
Query3,75%,591.8788909912109,23722.171783447266,593.0542945861816,"(589.5299026922867, 596.5786864800766)"
Query3,100%,871.2508678436279,33547.338247299194,838.6834561824799,"(834.0115602780206, 843.3553520869391)"
Query4,25%,331.2344551086426,12950.920343399048,323.7730085849762,"(321.95210265331065, 325.59391451664175)"
Query4,50%,650.6178379058838,26722.38826751709,668.0597066879272,"(662.3778964094635, 673.741516966391)"
Query4,75%,1012.5532150268555,39762.65215873718,994.0663039684296,"(988.5950532845632, 999.537554652296)"
Query4,100%,1304.8624992370605,54053.874015808105,1351.3468503952026,"(1342.345749374254, 1360.3479514161513)"
