Query,Dimensione,Tempo prima esecuzione,Tempo delle 30 esecuzioni,Tempo medio,Intervallo di confidenza sup,Intervallo di confidenza inf
Query1,25%,9.151935577392578,35.33339500427246,0.8833348751068115,0.9833111002263714,0.7833586499872517
Query1,50%,3.5855770111083984,39.37649726867676,0.984412431716919,1.0626228273197695,0.9062020361140682
Query1,75%,4.37164306640625,40.84062576293945,1.0210156440734863,1.1029877434028084,0.9390435447441643
Query1,100%,3.328561782836914,50.92167854309082,1.2730419635772705,1.3631601689545072,1.1829237582000338
Query2,25%,192.96002388000488,7038.411378860474,175.96028447151184,178.3978200043478,173.52274893867587
Query2,50%,202.7754783630371,7568.196773529053,189.20491933822632,191.27875376196465,187.13108491448799
Query2,75%,196.89369201660156,7928.729057312012,198.2182264328003,201.24948528192792,195.18696758367267
Query2,100%,224.73669052124023,9235.127210617065,230.87818026542664,235.1030497522336,226.65331077861967
Query3,25%,241.66560173034668,8046.324729919434,201.15811824798584,203.57007730241529,198.7461591935564
Query3,50%,433.1657886505127,17564.222812652588,439.1055703163147,446.1036329023093,432.1075077303201
Query3,75%,714.7243022918701,28309.39745903015,707.7349364757538,715.1598723668977,700.3100005846098
Query3,100%,977.553129196167,39705.421924591064,992.6355481147766,1007.1991244186495,978.0719718109037
Query4,25%,389.5115852355957,16372.499704360962,409.31249260902405,418.66763305541974,399.95735216262835
Query4,50%,754.8863887786865,31232.199907302856,780.8049976825714,793.3397481546267,768.2702472105161
Query4,75%,1134.401559829712,46728.19662094116,1168.204915523529,1181.093019218096,1155.316811828962
Query4,100%,1508.6791515350342,64951.47109031677,1623.7867772579193,1647.1877346185806,1600.385819897258
