Query,Dimensione,Tempo prima esecuzione,Tempo delle 30 esecuzioni,Tempo medio,Intervallo di confidenza sup,Intervallo di confidenza inf
Query1,25%,0.04220008850097656,0.2689361572265625,0.0067234039306640625,0.006888365203086737,0.006558442658241388
Query1,50%,0.026226043701171875,0.2644062042236328,0.00661015510559082,0.006710529908226707,0.0065097803029549334
Query1,75%,0.024080276489257812,0.27060508728027344,0.006765127182006836,0.007128904757612072,0.0064013496064016
Query1,100%,0.021457672119140625,0.2720355987548828,0.00680088996887207,0.007063847947428017,0.006537931990316124
Query2,25%,168.35331916809082,6198.158264160156,154.9539566040039,156.53532083156782,153.37259237644
Query2,50%,180.13739585876465,6812.998056411743,170.32495141029358,172.72719659568872,167.92270622489843
Query2,75%,179.05783653259277,7078.819036483765,176.97047591209412,180.52483316408444,173.4161186601038
Query2,100%,215.4996395111084,8096.957206726074,202.42393016815186,204.6201636087318,200.22769672757192
Query3,25%,188.07387351989746,7159.681081771851,178.99202704429626,183.00838851343235,174.97566557516018
Query3,50%,385.650634765625,15780.393838882446,394.50984597206116,398.5429920244816,390.47669991964074
Query3,75%,648.5192775726318,25137.176752090454,628.4294188022614,637.6842645595825,619.1745730449402
Query3,100%,865.0615215301514,35538.20562362671,888.4551405906677,900.7498395556524,876.160441625683
Query4,25%,342.2229290008545,13512.977838516235,337.8244459629059,342.7494232591402,332.89946866667157
Query4,50%,677.0243644714355,27239.920616149902,680.9980154037476,688.7842894563598,673.2117413511353
Query4,75%,1031.3048362731934,40881.96158409119,1022.0490396022797,1034.9158148325075,1009.1822643720519
Query4,100%,1404.3097496032715,55656.55589103699,1391.4138972759247,1404.1777974808736,1378.6499970709758
